Merk;Naam;Vega, Vegan, Waarschijnlijk vegan;Verkrijgbaar bij;Categorie;Subcategorie;Subcategorie
Davelaar;Stroopkoeken;Vegan;A-merk;Tussendoor;Koek;Luxe koeken
Davelaar;Jodenkoeken;Vegan;A-merk;Tussendoor;Koek;Luxe koeken
Liga;Evergreen appel;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
Liga;Evergreen bosvruchten;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
Punselie's;Stroopkoekjes;Vegan;A-merk;Tussendoor;Koek;Luxe koeken
Liga;Evergreen krenten;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
AH;Bakkers Speculaas;Vegan;Albert Heijn;Tussendoor;Koek;Kleine koekjes
Lotus;Speculoos koek;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Lotus;Speculoospasta Original;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Zoet
Lotus;Speculoospasta crunchy;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Zoet
Lotus;Speculoos koek XL;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
Lotus;Speculoos 6 granen;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
AH;Koffiewafels;Vegan;Albert Heijn;Tussendoor;Koek;Kleine koekjes
Verkade;Nizza Kokos;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Verkade;Nizza kaneel;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Verkade;Nizza karamel zeezout;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Verkade;Kletskoek peer - kaneel;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Verkade;Kletskoek honing - appel;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Verkade;Kletskoek gember - citroen;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Verkade;Café noir;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Sultana;Twist bosvruchten & Rode biet;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
Sultana;Twist Mango & Wortel;Vegan;A-merk;Tussendoor;Koek;Verpakte koekjes
Oreo;Oreo Original;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
Oreo;Oreo Double stuff koekjes;Vegan;A-merk;Tussendoor;Koek;Kleine koekjes
LU;Time Out Robuuste koeken;Vegan;A-merk;Tussendoor;Koek;Luxe koeken
Oatly!;Haverspread komkommer&knoflook;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Oatly!;Haverspread tomaat&basilicum;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Paprikaspread;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Muhammara;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Baba anoesch;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Heinz;Sandwichspread komkommer;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Heinz;Sandwichspread naturel;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Heinz;Sandwichspread Tomaat Lente-ui;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Heinz;Sandwichspread Komkommer;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Zonnatura;Paprikaspread;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Roomkaas rode biet geitenkaas;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Bettine;Geitenkaas spread naturel;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Zoete aardappelspread chili en madras;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Violife;Creamy original roomkaas;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Roomkaas met sweetpepper;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Frisse broodspread;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Esfenaj spinazie amandel dip;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Yazarra;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Zonnatura;Groentespread spicy tomaat;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Mister Kitchen's;V-spread tomaat courgette;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Mister Kitchen's;V-spread chili paprika;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Zonnatura;Groentespread spinazie;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Cottage cheese;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Mister Kitchen's;V-spread kerrie appel;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Americain spread;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Vegetarische slager;Boterhamworst;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Vega snijworst;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Vega paté;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Quorn;Chicken free slices;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Vegetarische slager;Petit filet à l'Americain;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Kleintje vega smeerworst;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Vegetarische slager;Petit pâté;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Quorn;Smoky ham free slices;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Vega smeerworst tuinkruiden;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Vega filet americain;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Vega pâté mediterraans;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Kips;Vega smeerworst mager;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Zonnatura;Vegetarische Paté naturel;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Zonnatura;Vegetarische Paté Provencaalse kruiden;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Garden Gourmet;Vegetarische smeerworst;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Garden Gourmet;Vegetarische smeerworst tuinkruiden;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Vegetarische slager;Spaanse worst;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Quorn;Vegetarian Pepperoni;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Garden Gourmet;Vegetarische filet americain;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Garden Gourmet;Vegetarisch gehakt bieslook;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Vegetarische slager;Boterhamworst Provencaal;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Garden Gourmet;Vegetarische filet;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Vega plakjes Mediterrano;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Vega plakjes Picanto;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Vega plakjes tuinkruiden;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus pikant;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Pikante hummus (vers);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus zongedroogde tomaat (vers);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes tomaat - basilicum;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Zoete pompoenhummus (ves);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes rode biet;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus gegrilde groenten (vers);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus zongedroogde tomaat;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes kerrie;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus avocado (vers);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus harissa (vers);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus pittig (houdbaar);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus pompoen (houdbaar);Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes tomaat - basilicum less salt;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes chipotle;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes met tuinkruiden;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes paprika oregano;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Johma;Selderij-appel salade;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
AH;Hummus kerrie;Vegan;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Scharrelei bieslooksalade (vers);Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Vrije uitloop-eisalade;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Selleriesalade;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
AH;Komkommersalade;Vega;Albert Heijn;Ontbijt/lunch;Broodbeleg;Hartig
Johma;Brusschetta;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes ras-el-hanout;Vega;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Maza;Hoemoes koriander en limoen;Vegan;A-merk;Ontbijt/lunch;Broodbeleg;Hartig
Snack-a-Jacks;Snack-a-Jacks BBQ Paprika;Vegan;A-merk;Tussendoor;Hartig;
Snack-a-Jacks;Snack-a-Jacks caramel;Vegan;A-merk;Tussendoor;Zoet;
Snelle jelle;Rozijnenkoek;Vegan;A-merk;Tussendoor;Zoet;
Snelle jelle;Kruidkoek naturel;Vegan;A-merk;Tussendoor;Zoet;
Zonnatura;Pinda crunch repen;Vegan;A-merk;Tussendoor;Zoet;
Peijnenburg;Ontbijtkoek tussendoor noten;Vegan;A-merk;Tussendoor;Zoet;
Snelle jelle;Goed gevuld - Noten, zaden en fruitkoek;Vegan;A-merk;Tussendoor;Zoet;
Eat natural;Simply vegan peanuts, coconut and chocolate;Vegan;A-merk;Tussendoor;Zoet;
Peijnenburg;Tussendoor Fruitkoek;Vegan;A-merk;Tussendoor;Zoet;
AH;Notenreep kokos;Vegan;Albert Heijn;Tussendoor;Zoet;
AH;Notenreep choco;Vegan;Albert Heijn;Tussendoor;Zoet;
Sultana;Fruitbiscuit bosvruchten;Vega;A-merk;Tussendoor;Zoet;
Sultana;Fruitbiscuit appel;Vega;A-merk;Tussendoor;Zoet;
Sultana;Knapperrs kaneel;Vega;A-merk;Tussendoor;Zoet;
Sultana;Fruitbiscuit peer-kaneel;Vega;A-merk;Tussendoor;Zoet;
Sultana;YoFruit aardbei;Vega;A-merk;Tussendoor;Zoet;
Sultana;Knapperrs kokos;Vega;A-merk;Tussendoor;Zoet;
Sultana;YoFruit framboos;Vega;A-merk;Tussendoor;Zoet;
Sultana;Goodmorning cranberry;Vega;A-merk;Tussendoor;Zoet;
